Día_Semana,Fecha,Total_pacientes,Atendidos,No-Atendidos
Sábado,01/04/2017,93,62,31
Domingo,02/04/2017,111,86,25
Lunes,03/04/2017,147,79,68
Martes,04/04/2017,161,123,38
Miércoles,05/04/2017,124,100,24
Jueves,06/04/2017,159,130,29
Viernes,07/04/2017,148,113,35
Sábado,08/04/2017,89,75,14
Domingo,09/04/2017,68,56,12
Lunes,10/04/2017,167,116,51
Martes,11/04/2017,136,100,35
Miércoles,12/04/2017,128,117,11
Jueves,13/04/2017,110,93,17
Viernes,14/04/2017,88,58,30
Sábado,15/04/2017,123,89,34
Domingo,16/04/2017,136,116,20
Lunes,17/04/2017,189,149,40
Martes,18/04/2017,151,111,40
Miércoles,19/04/2017,130,95,35
Jueves,20/04/2017,122,108,14
Viernes,21/04/2017,110,84,26
Sábado,22/04/2017,94,62,32
Domingo,23/04/2017,102,71,31
Lunes,24/04/2017,166,130,36
Martes,25/04/2017,122,86,36
Miércoles,26/04/2017,108,89,19
Jueves,27/04/2017,120,99,21
Viernes,28/04/2017,116,91,25
Sábado,29/04/2017,90,63,27
Domingo,30/04/2017,98,64,34
Lunes,01/05/2017,150,121,29
Martes,02/05/2017,159,118,40
Miércoles,03/05/2017,180,143,37
Jueves,04/05/2017,194,141,53
Viernes,05/05/2017,150,109,41
Sábado,06/05/2017,148,106,42
Domingo,07/05/2017,137,105,32
Lunes,08/05/2017,182,140,42
Martes,09/05/2017,176,143,32
Miércoles,10/05/2017,164,125,38
Jueves,11/05/2017,182,142,40
Viernes,12/05/2017,182,151,31
Sábado,13/05/2017,146,114,32
Domingo,14/05/2017,99,71,28
Lunes,15/05/2017,188,134,52
Martes,16/05/2017,178,137,41
Miércoles,17/05/2017,166,121,44
Jueves,18/05/2017,161,124,36
Viernes,19/05/2017,173,109,64
Sábado,20/05/2017,113,71,42
Domingo,21/05/2017,94,61,32
Lunes,22/05/2017,178,146,32
Martes,23/05/2017,207,152,55
Miércoles,24/05/2017,177,129,48
Jueves,25/05/2017,111,86,25
Viernes,26/05/2017,133,95,38
Sábado,27/05/2017,137,97,40
Domingo,28/05/2017,157,110,47
Lunes,29/05/2017,162,119,43
Martes,30/05/2017,140,122,18
Miércoles,31/05/2017,154,129,18
